,Date,Open,High,Low,Close,Adj Close,Volume
33,2020-07-21,98.339996,99.489998,97.480003,98.43,98.43,1159300
34,2020-07-22,98.919998,99.260002,97.970001,98.370003,98.370003,672500
35,2020-07-23,98.919998,100.983002,98.190002,99.18,99.18,1280100
36,2020-07-24,98.150002,98.150002,96.230003,96.849998,96.849998,889000
37,2020-07-27,97.199997,98.785004,97.050003,98.199997,98.199997,950800
38,2020-07-28,97.940002,97.974998,95.650002,95.68,95.68,896200
39,2020-07-29,96.169998,96.93,96.110001,96.209999,96.209999,959500
40,2020-07-30,95.830002,99.230003,95.57,98.980003,98.980003,1034800
41,2020-07-31,99.769997,99.93,97.919998,99.889999,99.889999,1203300
42,2020-08-03,99.230003,101.110001,98.709999,100.769997,100.769997,1108600
43,2020-08-04,101.0,101.0,99.160004,100.300003,100.300003,911700
44,2020-08-05,100.589996,100.75,99.389999,100.349998,100.349998,809200
45,2020-08-06,100.190002,100.540001,99.629997,99.980003,99.980003,897600
46,2020-08-07,99.900002,100.370003,97.400002,98.139999,98.139999,1015300
47,2020-08-10,98.150002,98.419998,96.660004,97.769997,97.769997,1098400
48,2020-08-11,98.230003,99.769997,97.959999,98.809998,98.809998,1550700
49,2020-08-12,99.269997,101.0,99.150002,99.57,99.57,934800
50,2020-08-13,101.860001,103.760002,101.150002,103.199997,103.199997,1507200
51,2020-08-14,102.550003,103.739998,102.160004,102.949997,102.949997,1359400
52,2020-08-17,103.5,104.120003,102.07,102.599998,102.599998,1381200
53,2020-08-18,102.470001,103.440002,102.379997,102.690002,102.690002,1190900
54,2020-08-19,103.0,105.650002,102.489998,104.0,104.0,2513600
55,2020-08-20,103.419998,103.989998,101.699997,102.82,102.82,2622500
56,2020-08-21,105.620003,106.385002,95.110001,95.879997,95.879997,9291400
57,2020-08-24,97.150002,99.43,95.900002,96.290001,96.290001,3805000
58,2020-08-25,96.5,98.129997,96.470001,97.580002,97.580002,2116000
59,2020-08-26,97.589996,98.800003,97.440002,98.07,98.07,1313800
60,2020-08-27,98.889999,99.120003,95.419998,95.610001,95.610001,1713300
61,2020-08-28,96.190002,97.690002,96.190002,97.330002,97.330002,1883700
62,2020-08-31,98.0,98.724998,96.739998,98.519997,98.519997,1333300
63,2020-09-01,98.540001,99.815002,98.050003,99.739998,99.739998,1647000
64,2020-09-02,99.540001,102.870003,99.400002,102.5,102.5,1775000
65,2020-09-03,101.330002,101.5,97.110001,97.889999,97.889999,2344100
66,2020-09-04,97.199997,98.260002,94.040001,94.949997,94.949997,1605600
67,2020-09-08,93.959999,94.760002,92.029999,93.389999,93.389999,2023600
68,2020-09-09,94.830002,95.25,92.870003,92.889999,92.889999,1889900
69,2020-09-10,93.470001,93.949997,90.620003,90.690002,90.690002,2403400
70,2020-09-11,91.230003,92.5,90.764999,92.349998,92.349998,1701300
71,2020-09-14,93.330002,95.349998,93.330002,94.230003,94.230003,1493800
72,2020-09-15,95.300003,96.559998,95.150002,96.209999,96.209999,854000
73,2020-09-16,98.279999,99.0,97.5,97.970001,97.970001,1545700
74,2020-09-17,96.07,98.269997,95.949997,98.25,98.25,1855300
75,2020-09-18,98.279999,99.879997,96.059998,97.099998,97.099998,2194300
76,2020-09-21,96.580002,97.860001,95.775002,97.800003,97.800003,1476500
77,2020-09-22,97.980003,98.419998,95.440002,97.419998,97.419998,1287000
78,2020-09-23,97.449997,98.824997,96.230003,96.360001,96.360001,1192200
79,2020-09-24,96.0,97.348999,95.599998,96.599998,96.599998,1264300
80,2020-09-25,96.18,98.489998,95.900002,98.120003,98.120003,751000
81,2020-09-28,98.790001,100.419998,98.699997,100.25,100.25,1191600
82,2020-09-29,100.489998,101.300003,99.595001,99.599998,99.599998,815000
83,2020-09-30,99.690002,100.110001,98.32,98.779999,98.779999,1187900
84,2020-10-01,99.68,99.940002,97.0,97.480003,97.480003,1395800
85,2020-10-02,96.0,98.989998,95.480003,98.269997,98.269997,1235500
86,2020-10-05,99.290001,99.900002,98.309998,99.690002,99.690002,1019900
87,2020-10-06,99.690002,102.150002,99.300003,99.489998,99.489998,1046100
88,2020-10-07,100.529999,102.0,100.059998,101.160004,101.160004,839000
89,2020-10-08,101.400002,103.394997,101.400002,103.18,103.18,1045300
90,2020-10-09,103.5,106.290001,103.375,105.260002,105.260002,1104700
91,2020-10-12,105.410004,105.959999,104.760002,105.720001,105.720001,943000
92,2020-10-13,105.57,106.25,104.129997,104.489998,104.489998,1343800
93,2020-10-14,104.949997,105.559998,103.955002,104.980003,104.980003,1056900
94,2020-10-15,104.029999,105.889999,103.720001,105.68,105.68,1148500
95,2020-10-16,105.489998,106.628998,104.709999,104.910004,104.910004,800400
96,2020-10-19,105.150002,107.970001,105.150002,106.68,106.68,1124700
97,2020-10-20,107.0,107.660004,105.230003,105.449997,105.449997,824100
98,2020-10-21,106.089996,107.406998,105.699997,105.699997,105.699997,913500
99,2020-10-22,106.209999,106.800003,104.949997,106.260002,106.260002,916500
100,2020-10-23,106.370003,108.5,105.790001,107.879997,107.879997,1073400
101,2020-10-26,106.650002,107.709999,104.860001,105.849998,105.849998,707600
102,2020-10-27,106.230003,107.589996,105.82,106.900002,106.900002,852300
103,2020-10-28,105.419998,106.260002,103.394997,104.300003,104.300003,967000
104,2020-10-29,104.080002,105.900002,103.660004,104.540001,104.540001,1210300
105,2020-10-30,104.239998,105.949997,102.769997,104.870003,104.870003,1646300
106,2020-11-02,105.370003,106.620003,103.940002,104.739998,104.739998,793400
107,2020-11-03,106.010002,109.388,106.010002,107.720001,107.720001,1282700
108,2020-11-04,108.610001,109.870003,107.239998,107.800003,107.800003,1401300
109,2020-11-05,109.040001,111.699997,109.0,111.129997,111.129997,1113100
110,2020-11-06,110.739998,113.580002,109.970001,112.970001,112.970001,945100
111,2020-11-09,115.290001,117.919998,114.639999,115.559998,115.559998,1502200
112,2020-11-10,114.709999,114.709999,111.824997,112.0,112.0,1437200
113,2020-11-11,112.190002,115.855003,112.190002,115.440002,115.440002,1032500
114,2020-11-12,115.0,115.294998,113.279999,114.019997,114.019997,1130000
115,2020-11-13,115.0,116.440002,114.099998,116.099998,116.099998,801200
116,2020-11-16,117.0,118.769997,116.410004,117.669998,117.669998,1367400
117,2020-11-17,117.0,118.160004,115.407997,117.559998,117.559998,1084500
118,2020-11-18,117.779999,118.669998,115.139999,115.139999,115.139999,1693500
119,2020-11-19,114.199997,118.459999,112.650002,117.959999,117.959999,1966700
120,2020-11-20,118.0,118.989998,116.019997,116.169998,116.169998,1600100
121,2020-11-23,117.0,117.800003,115.709999,117.150002,117.150002,1209800
122,2020-11-24,118.139999,118.610001,117.370003,118.120003,118.120003,1277000
123,2020-11-25,117.889999,119.169998,117.120003,118.519997,118.519997,1154300
124,2020-11-27,118.230003,120.650002,118.040001,119.07,119.07,578100
125,2020-11-30,119.400002,120.089996,118.165001,120.040001,120.040001,1490900
126,2020-12-01,120.5,122.964996,120.0,121.839996,121.839996,1485400
127,2020-12-02,120.449997,122.025002,120.449997,121.879997,121.879997,996700
128,2020-12-03,121.879997,123.089996,121.629997,122.639999,122.639999,936300
129,2020-12-04,123.120003,124.75,122.690002,123.209999,123.209999,879000
130,2020-12-07,123.879997,124.919998,123.120003,124.910004,124.910004,1418600
131,2020-12-08,124.669998,127.309998,124.519997,127.129997,127.129997,1489400
132,2020-12-09,126.919998,127.5,123.779999,124.669998,124.669998,1064000
133,2020-12-10,123.080002,125.050003,122.279999,124.760002,124.760002,958000
134,2020-12-11,124.519997,126.43,123.699997,126.300003,126.300003,1080400
135,2020-12-14,126.550003,127.25,123.32,123.720001,123.720001,1117900
136,2020-12-15,125.129997,125.599998,122.800003,123.370003,123.370003,1243500
137,2020-12-16,123.449997,124.269997,122.120003,123.910004,123.910004,1331900
138,2020-12-17,124.910004,126.910004,124.389999,126.860001,126.860001,1377700
139,2020-12-18,127.150002,128.589996,126.529999,128.259995,128.259995,2937600
140,2020-12-21,126.989998,127.529999,125.169998,126.970001,126.970001,1151700
141,2020-12-22,126.940002,129.740005,126.809998,128.690002,128.690002,2726100
142,2020-12-23,129.470001,131.860001,129.169998,130.419998,130.419998,1012200
143,2020-12-24,130.710007,130.990005,130.119995,130.949997,130.949997,233900
144,2020-12-28,132.5,132.619995,131.270004,131.820007,131.820007,1614900
145,2020-12-29,132.139999,132.419998,129.720001,130.009995,130.009995,615900
146,2020-12-30,130.649994,132.139999,130.270004,131.240005,131.240005,1519000
147,2020-12-31,131.720001,132.25,130.669998,132.089996,132.089996,616500
148,2021-01-04,132.419998,132.75,129.317001,131.179993,131.179993,1466400
149,2021-01-05,131.5,134.0,131.199997,133.839996,133.839996,1171200
150,2021-01-06,133.600006,137.376999,133.190002,136.110001,136.110001,1976200
151,2021-01-07,137.149994,141.029999,136.610001,141.0,141.0,1824700
152,2021-01-08,140.910004,147.020004,140.910004,146.800003,146.800003,2190300
153,2021-01-11,145.0,151.160004,144.979996,150.149994,150.149994,1854300
154,2021-01-12,149.600006,150.552002,146.600006,146.820007,146.820007,1862100
155,2021-01-13,147.600006,148.580002,146.020004,146.610001,146.610001,1203200
156,2021-01-14,147.380005,148.690002,146.850006,147.029999,147.029999,1043200
157,2021-01-15,148.389999,148.600006,145.339996,146.289993,146.289993,3089700
158,2021-01-19,147.139999,148.399994,145.229996,147.070007,147.070007,1328200
159,2021-01-20,148.710007,150.619995,147.199997,147.529999,147.529999,1191300
160,2021-01-21,148.080002,148.820007,146.449997,146.679993,146.679993,835300
161,2021-01-22,146.289993,147.949997,145.149994,145.160004,145.160004,1289200
162,2021-01-25,145.940002,148.524994,145.169998,146.050003,146.050003,2632200
163,2021-01-26,146.050003,147.059998,145.195007,146.880005,146.880005,1432600
164,2021-01-27,144.880005,152.350006,144.229996,151.119995,151.119995,2672900
165,2021-01-28,152.0,153.210007,145.240005,145.419998,145.419998,2931800
166,2021-01-29,145.5,146.854996,140.759995,141.589996,141.589996,2065300
167,2021-02-01,142.880005,143.645004,140.820007,142.809998,142.809998,1296500
168,2021-02-02,143.970001,144.867996,141.509995,141.539993,141.539993,2376100
169,2021-02-03,142.460007,142.929993,141.050003,141.460007,141.460007,1183400
170,2021-02-04,142.279999,142.559998,139.699997,140.589996,140.589996,1107700
171,2021-02-05,141.169998,143.199997,141.169998,142.949997,142.949997,1114100
172,2021-02-08,144.0,144.960007,143.345001,144.699997,144.699997,1004800
173,2021-02-09,144.380005,146.910004,144.324997,146.399994,146.399994,857500
174,2021-02-10,147.389999,148.759995,146.115005,148.449997,148.449997,1004900
175,2021-02-11,149.490005,150.429993,148.100006,150.350006,150.350006,871200
176,2021-02-12,150.779999,153.690002,150.419998,153.479996,153.479996,1349800
177,2021-02-16,154.5,155.5,150.330002,151.070007,151.070007,1033400
178,2021-02-17,150.399994,150.529999,146.300003,149.059998,149.059998,1002900
179,2021-02-18,147.389999,149.490005,147.160004,148.039993,148.039993,1574300
180,2021-02-19,150.619995,150.869995,141.179993,142.190002,142.190002,3182300
181,2021-02-22,141.610001,143.089996,137.570007,137.630005,137.630005,2068600
182,2021-02-23,135.869995,140.360001,133.529999,139.570007,139.570007,1959300
183,2021-02-24,138.649994,143.839996,138.220001,143.639999,143.639999,1111100
184,2021-02-25,143.330002,144.490005,138.710007,139.630005,139.630005,1303200
185,2021-02-26,140.679993,142.990005,139.365005,141.520004,141.520004,1721800
186,2021-03-01,144.009995,144.539993,142.619995,144.449997,144.449997,830300
187,2021-03-02,144.949997,145.229996,141.429993,141.759995,141.759995,887900
188,2021-03-03,141.759995,141.759995,136.740005,137.479996,137.479996,952100
189,2021-03-04,137.0,137.800003,131.259995,132.429993,132.429993,2203400
190,2021-03-05,133.880005,135.330002,129.089996,134.699997,134.699997,1350700
191,2021-03-08,134.490005,135.179993,132.179993,132.229996,132.229996,1111000
192,2021-03-09,133.869995,137.020004,133.679993,136.309998,136.309998,934200
193,2021-03-10,137.589996,138.0,135.059998,135.279999,135.279999,857500
194,2021-03-11,138.020004,138.639999,135.979996,136.240005,136.240005,793500
195,2021-03-12,135.020004,136.220001,134.220001,136.009995,136.009995,1098600
196,2021-03-15,136.630005,137.518005,135.130005,136.899994,136.899994,706900
197,2021-03-16,137.270004,138.039993,136.453003,137.479996,137.479996,803300
198,2021-03-17,136.399994,137.669998,134.759995,137.350006,137.350006,706700
199,2021-03-18,135.869995,138.330002,135.360001,136.0,136.0,1141400
200,2021-03-19,136.339996,137.440002,134.610001,134.770004,134.770004,1235100
201,2021-03-22,134.770004,137.949997,134.770004,137.429993,137.429993,724200
202,2021-03-23,138.100006,138.679993,134.539993,135.179993,135.179993,949600
203,2021-03-24,135.199997,136.139999,134.050003,135.259995,135.259995,848300
204,2021-03-25,134.240005,136.509995,133.679993,136.229996,136.229996,928500
205,2021-03-26,137.020004,142.350006,136.5,142.190002,142.190002,965700
206,2021-03-29,141.899994,143.869995,140.869995,141.320007,141.320007,1629800
207,2021-03-30,140.929993,142.244003,140.395004,141.539993,141.539993,864300
208,2021-03-31,142.0,144.770004,141.912994,143.399994,143.399994,1192600
209,2021-04-01,144.0,144.600006,142.759995,143.789993,143.789993,1024800
210,2021-04-05,145.0,147.759995,144.509995,147.330002,147.330002,789900
211,2021-04-06,146.399994,147.0,145.380005,145.949997,145.949997,997900
212,2021-04-07,145.919998,145.919998,143.274994,143.949997,143.949997,680800
213,2021-04-08,145.559998,146.0,143.886993,144.649994,144.649994,1035900
214,2021-04-09,145.199997,146.320007,143.679993,146.229996,146.229996,657600
215,2021-04-12,146.059998,146.229996,144.149994,145.029999,145.029999,809900
216,2021-04-13,145.169998,145.630005,143.050003,143.429993,143.429993,924600
217,2021-04-14,143.330002,144.5,142.210007,143.419998,143.419998,955200
218,2021-04-15,143.990005,145.460007,143.660004,145.270004,145.270004,998100
219,2021-04-16,146.070007,146.490005,144.899994,145.399994,145.399994,3120200
220,2021-04-19,145.0,145.520004,142.229996,143.630005,143.630005,731400
221,2021-04-20,143.089996,143.779999,141.740005,143.0,143.0,588400
222,2021-04-21,142.830002,145.360001,142.600006,144.649994,144.649994,506900
223,2021-04-22,144.979996,146.100006,144.100006,145.600006,145.600006,836100
224,2021-04-23,145.699997,148.160004,145.220001,147.860001,147.860001,685900
225,2021-04-26,147.990005,148.964996,147.190002,148.740005,148.740005,562700
226,2021-04-27,149.0,149.779999,147.0,148.389999,148.389999,939800
227,2021-04-28,148.320007,149.289993,146.529999,146.610001,146.610001,929000
228,2021-04-29,147.589996,148.490005,145.949997,148.389999,148.389999,431600
229,2021-04-30,147.119995,147.729996,143.910004,144.350006,144.350006,808400
230,2021-05-03,145.449997,145.449997,140.270004,140.399994,140.399994,1111400
231,2021-05-04,139.300003,140.600006,137.479996,140.320007,140.320007,1028900
232,2021-05-05,141.410004,141.889999,140.139999,140.720001,140.720001,741400
233,2021-05-06,140.479996,142.869995,139.729996,142.809998,142.809998,632400
234,2021-05-07,143.360001,144.910004,142.610001,143.410004,143.410004,611900
235,2021-05-10,142.850006,142.850006,139.679993,139.899994,139.899994,660200
236,2021-05-11,138.039993,139.669998,137.009995,138.929993,138.929993,1038100
237,2021-05-12,137.639999,138.490005,135.309998,135.419998,135.419998,1009500
238,2021-05-13,136.509995,138.410004,136.0,138.050003,138.050003,983400
239,2021-05-14,139.580002,140.729996,138.800003,139.850006,139.850006,814600
240,2021-05-17,139.850006,141.100006,138.800003,139.539993,139.539993,689300
241,2021-05-18,140.740005,140.740005,138.350006,138.389999,138.389999,1009000
242,2021-05-19,136.25,138.270004,134.649994,138.149994,138.149994,1324300
243,2021-05-20,135.966003,142.080002,135.966003,141.029999,141.029999,1513600
244,2021-05-21,141.320007,142.169998,139.360001,139.660004,139.660004,1015900
245,2021-05-24,140.479996,141.690002,140.440002,140.800003,140.800003,611200
246,2021-05-25,141.110001,141.169998,139.809998,139.979996,139.979996,753700
247,2021-05-26,139.910004,141.649994,139.815002,141.350006,141.350006,701100
248,2021-05-27,141.300003,142.154999,140.184998,140.539993,140.539993,1148600
249,2021-05-28,141.0,142.610001,140.884995,142.380005,142.380005,785200
250,2021-06-01,143.070007,143.899994,141.960007,141.970001,141.970001,829500
251,2021-06-02,141.619995,143.990005,141.220001,143.929993,143.929993,841600
252,2021-06-03,143.789993,145.5,142.600006,145.029999,145.029999,997500
253,2021-06-04,145.589996,149.199997,145.589996,148.880005,148.880005,1105100
